subject,trial,session_pitch,throwing_hand,pitch_speed_mph,body_mass_kg,height_m,release_time_s,lead_foot_contact_time_s,shoulder_ir_moment_peak_Nm,shoulder_ir_moment_peak_time_s,elbow_varus_moment_peak_Nm,elbow_varus_moment_peak_time_s,shoulder_distraction_force_peak_N,shoulder_moment_norm_peak_Nm,elbow_moment_norm_peak_Nm,shoulder_force_norm_peak_N,elbow_force_norm_peak_N,rear_hip_moment_peak_Nm,rear_knee_moment_peak_Nm,rear_ankle_moment_peak_Nm,lead_hip_moment_peak_Nm,lead_knee_moment_peak_Nm,lead_ankle_moment_peak_Nm,lumbar_moment_peak_Nm,trunk_closure_residual_fraction,unmatched_plate_frames,flag,obp_shoulder_ir_moment_Nm,obp_elbow_varus_moment_Nm
000949,000949_001561_76_261_003_FF_860,1561_1,R,86.0000,118.3896,1.9304,1.6361,1.4556,124.6549,1.6139,110.5812,1.5917,1428.3907,273.6748,130.8614,1510.9706,1618.6073,321.3381,199.4264,65.0984,568.4996,252.9976,112.6336,591.7476,0.1500,20,,108.9411,115.1364
000949,000949_001561_76_261_004_FF_846,1561_2,R,84.6000,118.3896,1.9304,1.5139,1.3194,123.0002,1.4944,107.1728,1.4694,1357.0861,271.5474,126.7300,1428.2224,1566.8494,347.9873,212.7572,68.3912,543.6408,252.9618,99.7461,611.3735,0.1491,24,,106.3123,111.5674
000949,000949_001561_76_261_005_FF_860,1561_3,R,86.0000,118.3896,1.9304,1.7806,1.5944,127.3846,1.7611,111.6601,1.7361,1422.0376,293.0525,137.8060,1501.0768,1630.5033,337.5432,211.6747,68.6964,572.1519,242.5627,125.0437,608.0185,0.1770,20,,108.3464,114.5873
000964,000964_003037_74_208_003_FF_895,3037_1,R,89.5000,94.3488,1.8796,1.7278,1.5722,114.9086,1.7056,103.8420,1.6917,1226.0746,201.7946,104.5326,1283.1155,1473.4565,243.2559,194.0820,98.9772,320.1328,219.3404,177.1577,309.4230,0.2167,42,,114.4928,115.8340
000964,000964_003037_74_208_004_FF_887,3037_2,R,88.7000,94.3488,1.8796,2.5917,2.4361,118.1041,2.5694,102.1709,2.5556,1274.5929,218.0376,103.9027,1332.1328,1478.1939,242.3506,188.5380,87.9094,324.4253,207.1303,192.4051,322.7258,0.3219,14,,114.2483,115.5900
000964,000964_003037_74_208_006_FF_889,3037_3,R,88.9000,94.3488,1.8796,1.5111,1.3472,115.0284,1.4861,105.7778,1.4750,1217.7898,211.5902,107.4319,1287.6772,1470.5468,244.4924,176.4192,102.3303,305.8440,216.0620,186.9518,312.6073,0.1781,85,,113.8519,116.3554
000964,000964_003037_74_208_008_FF_888,3037_4,R,88.8000,94.3488,1.8796,1.8000,1.6667,115.4027,1.7750,103.3429,1.7611,1280.2483,213.0767,104.5158,1340.1502,1500.4694,271.8447,163.1508,63.1468,316.3151,219.3119,115.5885,377.0544,0.2373,97,,111.2383,112.9853
000964,000964_003037_74_208_009_FF_886,3037_5,R,88.6000,94.3488,1.8796,1.8083,1.6694,120.1667,1.7889,102.5606,1.7750,1194.3722,226.7130,103.5302,1271.7829,1483.4498,277.9294,175.0837,70.6203,375.6453,209.3006,152.5501,415.7178,0.2003,188,,115.3763,116.8699
001000,001000_001718_75_215_004_FF_912,1718_1,L,91.2000,97.5240,1.9050,1.5167,1.3750,162.3900,1.4917,143.6164,1.4889,1313.1210,194.8112,145.8316,1372.8496,1485.7585,327.2587,295.0118,104.2758,283.0559,196.2276,83.6298,336.5334,0.1669,12,,137.8909,135.5394
001000,001000_001718_75_215_006_FF_908,1718_2,L,90.8000,97.5240,1.9050,1.6028,1.4472,156.0609,1.5778,137.9123,1.5722,1307.3209,177.7202,139.8271,1366.0904,1474.9103,333.5660,299.8617,105.9397,332.5780,242.0681,126.7188,329.8160,0.2078,15,,135.7615,135.1132
